case	size	source_sha256	source_bytes	plain_runs	median_s	min_s	max_s	profile_s	steps	answers	done	stalled	goals	subst	alts	max_alt_subst	self_atoms	clauses	counter_delta	verdict
loop-control	100	fc9606c4cffcece9aeaa1e55882faa4eab0ee9c3298db986d6ee2006b3e134b0	113	3	0.041323	0.040326	0.042565	0.060307	807	1	true	none	0	0	0	0	1	43	101	OK
loop-control	200	5791f9bcd14846676726de26affb9405cf73feed95729b54718a10b91888430c	113	3	0.117427	0.117280	0.121617	0.218387	1607	1	true	none	0	0	0	0	1	43	201	OK
loop-control	400	e34fe2500b6634b4790fa3c6c73f4990f22ee0eb5d3479e9ca4b3a80fc0c67dd	113	3	0.645819	0.637705	0.660526	1.260324	3207	1	true	none	0	0	0	0	1	43	401	OK
loop-control	800	8bcda327622fa5a8129847bdea7f389da06fcb6043691a52d613c762c5e266ea	113	3	4.508752	4.427403	4.523065	9.073480	6407	1	true	none	0	0	0	0	1	43	801	OK
add-only	100	fc0baedf5fe8dbaaef8429d00157a72cabed1da38b2bdc87da4daf012f490b5a	173	3	0.044548	0.044193	0.046408	0.065050	1107	1	true	none	0	0	0	0	101	43	101	OK
add-only	200	5bc375639d09e58e681be7ea81372a39ed24170746f838a0538f4e57a267d402	173	3	0.132661	0.129828	0.133615	0.231024	2207	1	true	none	0	0	0	0	201	43	201	OK
add-only	400	f081d1b4892d49ad5e9732bf81ccbec92db16ef6a7ba8312c650bd7689cc3e79	173	3	0.709383	0.697158	0.737635	1.387252	4407	1	true	none	0	0	0	0	401	43	401	OK
add-only	800	7a799e3447b87a04db87effaa91c9981ee443e0e29d9d6376dae593a919d15bb	173	3	4.743939	4.642763	4.780811	9.495841	8807	1	true	none	0	0	0	0	801	43	801	OK
