case	size	source_sha256	source_bytes	plain_runs	median_s	min_s	max_s	profile_s	steps	answers	done	stalled	goals	subst	max_subst	alts	max_alt_subst	self_atoms	clauses	counter_delta	verdict
loop-control	100	fc9606c4cffcece9aeaa1e55882faa4eab0ee9c3298db986d6ee2006b3e134b0	113	5	0.037729	0.036056	0.038108	0.047066	807	1	true	none	0	0	103	0	0	1	43	101	OK
loop-control	200	5791f9bcd14846676726de26affb9405cf73feed95729b54718a10b91888430c	113	5	0.088227	0.085734	0.090895	0.129874	1607	1	true	none	0	0	203	0	0	1	43	201	OK
loop-control	400	e34fe2500b6634b4790fa3c6c73f4990f22ee0eb5d3479e9ca4b3a80fc0c67dd	113	5	0.296922	0.292727	0.305939	0.443110	3207	1	true	none	0	0	403	0	0	1	43	401	OK
loop-control	800	8bcda327622fa5a8129847bdea7f389da06fcb6043691a52d613c762c5e266ea	113	5	1.787787	1.748818	1.967971	2.089607	6407	1	true	none	0	0	803	0	0	1	43	801	OK
term-growth	100	2b0500ec6600365eaaf31321886e0e7dd7358053c429ddb03aff8064527b8f57	155	5	0.048238	0.046900	0.049795	0.061595	1009	1	true	none	0	0	104	0	0	1	43	101	OK
term-growth	200	f96886aaec202736e946e43aeceeb6500431413da0b3c3b012303846e030001c	155	5	0.132629	0.130514	0.150570	0.188771	2009	1	true	none	0	0	204	0	0	1	43	201	OK
term-growth	400	73e03261d94da52db7c1adfa12393485b7dd2a2479802f4678a8273bcf388f2d	155	5	0.475111	0.472591	0.479843	0.693506	4009	1	true	none	0	0	404	0	0	1	43	401	OK
term-growth	800	9470b2b881072778bfd7cdeb0f51102dd82554db0becf146cdab2bd12918289d	155	5	2.479041	1.931620	3.037896	2.873530	8009	1	true	none	0	0	804	0	0	1	43	801	OK
