case	size	source_sha256	source_bytes	plain_runs	median_s	min_s	max_s	profile_s	steps	answers	done	stalled	goals	subst	max_subst	alts	max_alt_subst	self_atoms	clauses	counter_delta	verdict
loop-control	100	fc9606c4cffcece9aeaa1e55882faa4eab0ee9c3298db986d6ee2006b3e134b0	113	1	0.039032	0.039032	0.039032	0.053007	807	1	true	none	0	0	103	0	0	1	43	101	OK
loop-control	200	5791f9bcd14846676726de26affb9405cf73feed95729b54718a10b91888430c	113	1	0.112504	0.112504	0.112504	0.201178	1607	1	true	none	0	0	203	0	0	1	43	201	OK
loop-control	400	e34fe2500b6634b4790fa3c6c73f4990f22ee0eb5d3479e9ca4b3a80fc0c67dd	113	1	0.614119	0.614119	0.614119	1.251890	3207	1	true	none	0	0	403	0	0	1	43	401	OK
term-growth	100	2b0500ec6600365eaaf31321886e0e7dd7358053c429ddb03aff8064527b8f57	155	1	0.044484	0.044484	0.044484	0.062387	1009	1	true	none	0	0	104	0	0	1	43	101	OK
term-growth	200	f96886aaec202736e946e43aeceeb6500431413da0b3c3b012303846e030001c	155	1	0.134939	0.134939	0.134939	0.246760	2009	1	true	none	0	0	204	0	0	1	43	201	OK
term-growth	400	73e03261d94da52db7c1adfa12393485b7dd2a2479802f4678a8273bcf388f2d	155	1	0.753055	0.753055	0.753055	1.380360	4009	1	true	none	0	0	404	0	0	1	43	401	OK
