case	size	source_sha256	source_bytes	plain_runs	median_s	min_s	max_s	profile_s	steps	answers	done	stalled	goals	subst	max_subst	alts	max_alt_subst	self_atoms	clauses	counter_delta	verdict
loop-control	100	fc9606c4cffcece9aeaa1e55882faa4eab0ee9c3298db986d6ee2006b3e134b0	113	3	0.059950	0.055185	0.060108	0.063789	807	1	true	none	0	0	103	0	0	1	43	101	OK
loop-control	200	5791f9bcd14846676726de26affb9405cf73feed95729b54718a10b91888430c	113	3	0.171813	0.166852	0.174371	0.202487	1607	1	true	none	0	0	203	0	0	1	43	201	OK
loop-control	400	e34fe2500b6634b4790fa3c6c73f4990f22ee0eb5d3479e9ca4b3a80fc0c67dd	113	3	0.605394	0.585077	0.608203	0.747595	3207	1	true	none	0	0	403	0	0	1	43	401	OK
loop-control	800	8bcda327622fa5a8129847bdea7f389da06fcb6043691a52d613c762c5e266ea	113	3	3.010130	2.997077	3.240722	3.633626	6407	1	true	none	0	0	803	0	0	1	43	801	OK
term-growth	100	2b0500ec6600365eaaf31321886e0e7dd7358053c429ddb03aff8064527b8f57	155	3	0.070567	0.070364	0.072447	0.082310	1009	1	true	none	0	0	104	0	0	1	43	101	OK
term-growth	200	f96886aaec202736e946e43aeceeb6500431413da0b3c3b012303846e030001c	155	3	0.242576	0.232734	0.243567	0.295827	2009	1	true	none	0	0	204	0	0	1	43	201	OK
term-growth	400	73e03261d94da52db7c1adfa12393485b7dd2a2479802f4678a8273bcf388f2d	155	3	0.886029	0.876214	0.912376	1.093820	4009	1	true	none	0	0	404	0	0	1	43	401	OK
term-growth	800	9470b2b881072778bfd7cdeb0f51102dd82554db0becf146cdab2bd12918289d	155	3	5.265002	5.191314	5.342713	6.228642	8009	1	true	none	0	0	804	0	0	1	43	801	OK
