case	size	source_sha256	source_bytes	plain_runs	median_s	min_s	max_s	profile_s	steps	answers	done	stalled	goals	subst	max_subst	alts	max_alt_subst	self_atoms	clauses	counter_delta	verdict
loop-control	100	fc9606c4cffcece9aeaa1e55882faa4eab0ee9c3298db986d6ee2006b3e134b0	113	5	0.038167	0.036805	0.038907	0.048039	807	1	true	none	0	0	103	0	0	1	43	101	OK
loop-control	200	5791f9bcd14846676726de26affb9405cf73feed95729b54718a10b91888430c	113	5	0.090199	0.089232	0.091588	0.129608	1607	1	true	none	0	0	203	0	0	1	43	201	OK
loop-control	400	e34fe2500b6634b4790fa3c6c73f4990f22ee0eb5d3479e9ca4b3a80fc0c67dd	113	5	0.317896	0.312158	0.323977	0.458818	3207	1	true	none	0	0	403	0	0	1	43	401	OK
loop-control	800	8bcda327622fa5a8129847bdea7f389da06fcb6043691a52d613c762c5e266ea	113	5	1.294639	1.280468	1.307837	1.879723	6407	1	true	none	0	0	803	0	0	1	43	801	OK
term-growth	100	2b0500ec6600365eaaf31321886e0e7dd7358053c429ddb03aff8064527b8f57	155	5	0.048493	0.047707	0.052293	0.060640	1009	1	true	none	0	0	104	0	0	1	43	101	OK
term-growth	200	f96886aaec202736e946e43aeceeb6500431413da0b3c3b012303846e030001c	155	5	0.134706	0.131202	0.141610	0.186646	2009	1	true	none	0	0	204	0	0	1	43	201	OK
term-growth	400	73e03261d94da52db7c1adfa12393485b7dd2a2479802f4678a8273bcf388f2d	155	5	0.503033	0.496853	0.509178	0.707405	4009	1	true	none	0	0	404	0	0	1	43	401	OK
term-growth	800	9470b2b881072778bfd7cdeb0f51102dd82554db0becf146cdab2bd12918289d	155	5	2.081791	2.062213	2.094613	2.974919	8009	1	true	none	0	0	804	0	0	1	43	801	OK
