case	size	source_sha256	source_bytes	plain_runs	median_s	min_s	max_s	profile_s	steps	answers	done	stalled	goals	subst	max_subst	alts	max_alt_subst	self_atoms	clauses	counter_delta	verdict
clauses-control	1000	d3edf017c8e25881aa798bbaed8566486707024e48c4d5d48c4b7d53c5d2d1c2	17061	3	0.045682	0.043792	0.057518	0.072041	647	1	true	none	0	0	68	0	0	1002	44	129	OK
clauses-control	2000	09225be9f1000722241dfcb3dc691f23f2ae95216773bf3f3a9ff6fce66cfae8	35061	3	0.073775	0.070560	0.093288	0.096552	647	1	true	none	0	0	68	0	0	2002	44	129	OK
clauses-control	4000	a28b31bfde4a2b10913fcb56497ebecf4c104f95bd0017dea996f32550ceae82	71061	3	0.179590	0.179040	0.179713	0.198819	647	1	true	none	0	0	68	0	0	4002	44	129	OK
clauses-growing	1000	af85e1b93eab3829a0543a4a8ff96edc6721bf868c77a9ed5bea9ad60d122fb1	28061	3	0.068621	0.068507	0.079159	0.072018	647	1	true	none	0	0	68	0	0	1002	1044	129	OK
clauses-growing	2000	bb622842d5cd1d2343762700bec172904f60881fb52c9173c62d30ef27155779	57061	3	0.109488	0.107892	0.112770	0.121965	647	1	true	none	0	0	68	0	0	2002	2044	129	OK
clauses-growing	4000	146f128707af77c0848bce2ae94aad7697578ab22233831d15d4631883360c4c	115061	3	0.359610	0.344253	0.388696	0.345145	647	1	true	none	0	0	68	0	0	4002	4044	129	OK
