callquoteevalreduce.metta	TRACED	0/4	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
lambda.metta	TRACED	5/7	CHECKED	5	PARTIAL	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
nars_direct.metta	TRACED	1/7	CHECKED	1	PARTIAL	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.101	
nilbc.metta	TRACED	0/0	CHECKED	0	TRACE-FAIL	trusted=0	rejected=0	exit=-9	budget=3000000	seconds=60.135	
parametric_types.metta	TRACED	0/1	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
patrick_test.metta	TRACED	4/4	CHECKED	4	PLEATTA-CERTIFIED	trusted=1	rejected=0	exit=0	budget=3000000	seconds=0.102	
pln_direct.metta	TRACED	1/7	CHECKED	1	PARTIAL	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.101	
tabling_fib.metta	TRACED	1/0	CHECKED	1	TRACE-FAIL	trusted=0	rejected=0	exit=-9	budget=3000000	seconds=60.135	
