case	size	source_sha256	source_bytes	plain_runs	median_s	min_s	max_s	profile_s	steps	answers	done	stalled	goals	subst	max_subst	alts	max_alt_subst	self_atoms	clauses	counter_delta	verdict
loop-control	100	fc9606c4cffcece9aeaa1e55882faa4eab0ee9c3298db986d6ee2006b3e134b0	113	5	0.031878	0.031647	0.032920	0.044385	807	1	true	none	0	0	103	0	0	1	43	101	OK
loop-control	200	5791f9bcd14846676726de26affb9405cf73feed95729b54718a10b91888430c	113	5	0.065072	0.063450	0.069460	0.104482	1607	1	true	none	0	0	203	0	0	1	43	201	OK
loop-control	400	e34fe2500b6634b4790fa3c6c73f4990f22ee0eb5d3479e9ca4b3a80fc0c67dd	113	5	0.202898	0.201670	0.208903	0.414854	3207	1	true	none	0	0	403	0	0	1	43	401	OK
loop-control	800	8bcda327622fa5a8129847bdea7f389da06fcb6043691a52d613c762c5e266ea	113	5	1.201439	0.802142	1.343584	1.424067	6407	1	true	none	0	0	803	0	0	1	43	801	OK
term-growth	100	2b0500ec6600365eaaf31321886e0e7dd7358053c429ddb03aff8064527b8f57	155	5	0.040942	0.040196	0.042111	0.053413	1009	1	true	none	0	0	104	0	0	1	43	101	OK
term-growth	200	f96886aaec202736e946e43aeceeb6500431413da0b3c3b012303846e030001c	155	5	0.096066	0.095295	0.097210	0.152167	2009	1	true	none	0	0	204	0	0	1	43	201	OK
term-growth	400	73e03261d94da52db7c1adfa12393485b7dd2a2479802f4678a8273bcf388f2d	155	5	0.340958	0.331988	0.345864	0.550262	4009	1	true	none	0	0	404	0	0	1	43	401	OK
term-growth	800	9470b2b881072778bfd7cdeb0f51102dd82554db0becf146cdab2bd12918289d	155	5	1.661447	1.631097	1.720052	2.476166	8009	1	true	none	0	0	804	0	0	1	43	801	OK
